sentence,aspect_term,sentiment,from,to
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,20,24
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,38,48
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,66,73
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,6,10
"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive,25,31
this little place has a cute interior decor and affordable city prices.,interior deco,positive,29,42
this little place has a cute interior decor and affordable city prices.,prices,positive,64,70
Two words: Free wine.,wine,positive,16,20
The price is reasonable although the service is poor.,price,positive,4,9
The price is reasonable although the service is poor.,service,negative,37,44
"The quantity is also very good, you will come out satisfied.",quantity,positive,4,12
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,118,123
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,146,155
The fried rice is amazing here.,fried rice,positive,4,14
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,42,49
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,51,74
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,79,110
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,118,140
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral,6,13
it's a perfect place to have a amanzing indian food.,indian food,positive,40,51
The place is so cool and the service is prompt and curtious.,service,positive,29,36
The place is so cool and the service is prompt and curtious.,place,positive,4,9
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,35,53
I just wonder how you can have such a delicious meal for such little money.,meal,positive,48,52
I just wonder how you can have such a delicious meal for such little money.,money,positive,69,74
The food was delicious but do not come here on a empty stomach.,food,conflict,4,8
The wine list is excellent.,wine list,positive,4,13
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,84,93
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,35,48
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,75,83
This is a consistently great place to dine for lunch or dinner.,lunch,neutral,47,52
This is a consistently great place to dine for lunch or dinner.,dinner,neutral,56,62
This is a consistently great place to dine for lunch or dinner.,dine,positive,38,42
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,5,15
"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,21,28
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,55,61
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,39,42
After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral,60,65
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,74,80
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,9,16
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,28,32
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,52,62
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,67,78
Try the lasagnette appetizer.,lasagnette appetizer,positive,8,28
I liked the beer selection!,beer selection,positive,12,26
"Great food, good size menu, great service and an unpretensious setting.",food,positive,6,10
"Great food, good size menu, great service and an unpretensious setting.",menu,positive,22,26
"Great food, good size menu, great service and an unpretensious setting.",service,positive,34,41
"Great food, good size menu, great service and an unpretensious setting.",setting,positive,63,70
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,23,29
Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive,57,63
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,17,21
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,0,19
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,32,49
"With the great variety on the menu , I eat here often and never get bored .",menu,positive,30,34
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,4,8
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,53,60
The menu is limited but almost all of the dishes are excellent.,menu,negative,4,8
The menu is limited but almost all of the dishes are excellent.,dishes,positive,42,48
Not too crazy about their sake martini.,sake martini,negative,26,38
"Great bagels, spreads and a good place to hang out in.",bagels,positive,6,12
"Great bagels, spreads and a good place to hang out in.",spreads,positive,14,21
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict,4,11
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,90,95
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,19,23
We always have a delicious meal and always leave feeling satisfied.,meal,positive,27,31
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,8,19
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,33,43
First went here to enjoy their garden terrace.,garden terrace,positive,31,45
The pizza was pretty good and huge.,pizza,positive,4,9
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,4,11
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,50,60
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,86,93
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,15,22
All my co-workers were amazed at how small the dish was.,dish,negative,47,51
"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,4,14
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,34,41
"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,61,65
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,24,40
"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,4,14
"The wait staff is friendly, and the food has gotten better and better!",food,positive,36,40
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,44,48
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,76,87
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,16,22
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,64,69
Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,48,53
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,25,41
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,19,27
I also ordered for delivery and the restaurant forgot half the order.,order,negative,63,68
Our server checked on us maybe twice during the entire meal.,server,negative,4,10
Our server checked on us maybe twice during the entire meal.,meal,neutral,55,59
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,11,17
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,11,27
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,143,148
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll,conflict,11,22
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,124,129
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,67,77
Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,0,18
"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,21,33
"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,55,62
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,21,32
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,63,85
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,6,27
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food,conflict,25,29
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,114,118
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,186,197
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,202,207
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,134,141
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive,104,111
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,12,16
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,positive,42,53
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive,21,27
I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,7,18
Some baby pizzas get their wish.,baby pizzas,neutral,5,16
Overall A oh ya even though there is waiting it is deff worth it,waiting,negative,37,44
The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,4,21
VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,11,22
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,18,25
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,40,44
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative,81,89
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,80,84
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,152,156
The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,41,46
good selection of wines ranging from affordable to high end.,selection of wines,positive,5,23
"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,positive,46,59
Not impressed with the food.,food,negative,23,27
The entire dining experience was wonderful!,dining experience,positive,11,28
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive,4,18
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral,101,112
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,positive,0,7
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,91,97
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,71,82
"Order the panang duck, it's fantastic.",panang duck,positive,10,21
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food,conflict,0,4
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative,76,90
"Other than the crappy service from two individuals, it's great.",service,negative,22,29
They have authentic Indian at amazin prices.,Indian,positive,20,26
They have authentic Indian at amazin prices.,prices,positive,37,43
Ambiance- relaxed and stylish.,Ambiance,positive,0,8
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,positive,30,40
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,positive,42,50
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,positive,55,66
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,20,31
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,48,59
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,80,85
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral,122,127
and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive,54,60
and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,positive,8,19
I look forward to eating here again,eating,positive,18,24
I've been coming here as a child and always come back for the taste.,taste,positive,62,67
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive,99,103
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,114,119
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,positive,29,46
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive,56,63
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,positive,2,25
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,neutral,0,4
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,21,33
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative,50,55
The food always tastes fresh and served promptly.,food,positive,4,8
The food always tastes fresh and served promptly.,served,positive,33,39
The pizza here is delicious.,pizza,positive,4,9
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,positive,0,5
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,positive,80,88
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,positive,10,22
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,positive,10,22
But who says Murray's is anything about service.,service,neutral,40,47
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative,104,108
Hats off to the chef.,chef,positive,16,20
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,negative,0,7
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,positive,138,144
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive,4,9
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,positive,34,50
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,negative,90,96
Its an excellent place to relax and the food is one of the best in the city of New York.,place,positive,17,22
Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive,40,44
"service is friendly, and never had a problem walking in and getting a table.",service,positive,0,7
"service is friendly, and never had a problem walking in and getting a table.",getting a table,positive,60,75
The atmosphere was crowded but it was a great bistro-type vibe.,atmosphere,conflict,4,14
The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,positive,46,62
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative,15,23
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral,101,107
The food was bland oily.,food,negative,4,8
"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,positive,33,39
"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive,77,81
The fish is fresh but the variety of fish is nothing out of ordinary.,fish,positive,4,8
The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative,26,41
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,positive,23,34
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,positive,40,51
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,positive,64,78
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,positive,13,17
"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,positive,44,53
"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,positive,15,31
"Ambiance and music funky, which I enjoy.",Ambiance,positive,0,8
"Ambiance and music funky, which I enjoy.",music,positive,13,18
"The food, drinks and service are clearly among the best in the city.",food,positive,4,8
"The food, drinks and service are clearly among the best in the city.",drinks,positive,10,16
"The food, drinks and service are clearly among the best in the city.",service,positive,21,28
I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral,50,54
I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral,59,70
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,positive,82,90
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive,108,115
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,positive,217,222
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,positive,228,234
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,positive,128,136
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,positive,163,170
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,positive,175,187
"Last time I went here, the waitress didn't come back after taking our order.",waitress,negative,27,35
Try the tandoori salmon!,tandoori salmon,positive,8,23
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,positive,15,25
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,negative,12,17
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive,55,62
I love the atmorphere @ peep!,atmorphere,positive,11,21
The service was attentive and her suggestions of menu items was right on the mark.,service,positive,4,11
The service was attentive and her suggestions of menu items was right on the mark.,menu items,positive,49,59
The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,positive,31,48
"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",Pizza,positive,202,207
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,positive,4,15
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative,37,41
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative,59,66
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,positive,7,22
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral,55,66
What came to our table was burned beyond recognition and stringy.,table,neutral,17,22
I had the Pad Thai and the noodles were sticky.,Pad Thai,negative,10,18
I had the Pad Thai and the noodles were sticky.,noodles,negative,27,34
"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral,57,66
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,positive,80,101
"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,positive,53,58
The hostess is rude to the point of being offensive.,hostess,negative,4,11
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive,35,39
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",wait building,negative,88,101
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,negative,9,17
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,negative,34,39
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,negative,79,87
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,negative,148,155
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,neutral,170,177
The food is great.,food,positive,4,8
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,positive,10,16
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,positive,76,82
Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,positive,87,92
"Lunch came with pickels and slaw, no extra charge.",Lunch,positive,0,5
"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,neutral,16,32
Decent wine at reasonable prices.,wine,positive,7,11
Decent wine at reasonable prices.,prices,positive,26,32
All conveniently delivered right to the door.,delivered,positive,17,26
even the wine by the glass was good.,wine by the glass,positive,9,26
would have rather tried terrace in the sky or water club for that price,price,negative,66,71
This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive,5,9
"I also ordered the Change Mojito, which was out of this world.",Change Mojito,positive,19,32
Okay service.,service,neutral,5,12
The only thing more wonderful than the food (which is exceptional) is the service.,food,positive,39,43
The only thing more wonderful than the food (which is exceptional) is the service.,service,positive,74,81
"The food was just awful, ATROCIOUS actually.",food,negative,4,8
The soup for the udon was soy sauce and water.,soup for the udon,negative,4,21
The soup for the udon was soy sauce and water.,soy sauce,neutral,26,35
The soup for the udon was soy sauce and water.,water,neutral,40,45
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,positive,4,14
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,positive,45,53
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,positive,67,86
The waitress suggested glasses of wine that went very well with the food.,waitress,positive,4,12
The waitress suggested glasses of wine that went very well with the food.,food,neutral,68,72
The waitress suggested glasses of wine that went very well with the food.,glasses of wine,positive,23,38
"They might be all business at the counter when you give your order, but their food says I love you.",food,positive,78,82
"They might be all business at the counter when you give your order, but their food says I love you.",counter,negative,34,41
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive,29,34
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),positive,90,111
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,positive,113,127
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",assorted sashimi,positive,129,145
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive,147,152
