sentence,aspect_term,sentiment,from,to
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",Leon,positive,76,82
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,positive,76,82
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,positive,76,82
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",French bistro fare,positive,76,82
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",staff,positive,76,82
Decent wine at reasonable prices.,wine,neutral,76,82
Decent wine at reasonable prices.,wine,positive,76,82
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",Zucchero Pomodori,positive,76,82
This is by far my favorite place in the neighborhood.,place,positive,76,82
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",service,positive,76,82
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,positive,76,82
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,positive,76,82
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,positive,76,82
I'm partial to the Gnocchi.,Gnocchi,positive,76,82
This place is incredibly tiny.,place,negative,76,82
The hostess is rude to the point of being offensive.,hostess,negative,76,82
The food was bland oily.,food,negative,76,82
"We have been to this place many times, and always have great food, wine, and service.",food,positive,76,82
"We have been to this place many times, and always have great food, wine, and service.",wine,positive,76,82
"We have been to this place many times, and always have great food, wine, and service.",service,positive,76,82
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,positive,76,82
As always we had a great glass of wine while we waited.,glass of wine,positive,76,82
"When we sat, we got great and fast service.",service,positive,76,82
The people that work there are always so friendly you forget you are in New York sometimes.,people,positive,76,82
Make sure you try this place as often as you can.,place,positive,76,82
This is a fun restaurant to go to.,restaurant,positive,76,82
The pizza is yummy and I like the atmoshpere.,pizza,positive,76,82
The pizza is yummy and I like the atmoshpere.,atmoshpere,positive,76,82
But the pizza is way to expensive.,pizza,negative,76,82
"A large is $20, and toppings are about $3 each.",toppings,negative,76,82
I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,negative,76,82
Sauce was watery and the food didn't have much flavor.,Sauce,negative,76,82
Sauce was watery and the food didn't have much flavor.,food,negative,76,82
This place is great.,place,positive,76,82
The waitress was very patient with us and the food is phenomenal!,waitress,positive,76,82
The waitress was very patient with us and the food is phenomenal!,food,positive,76,82
"Service was prompt, friendly and great.",Service,positive,76,82
Great pizza and fantastic service.,pizza,positive,76,82
Great pizza and fantastic service.,service,positive,76,82
"There was a small wait, but shorter than I expected.",wait,positive,76,82
Located at the end of a magnificent block.,block,positive,76,82
This is the best sushi in new york city - hands down.,sushi,positive,76,82
The place is small and cramped but the food is fantastic.,place,negative,76,82
The place is small and cramped but the food is fantastic.,food,positive,76,82
Get the tuna of gari.,tuna of gari,positive,76,82
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,positive,76,82
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,positive,76,82
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",Planet Thailand,positive,76,82
"With the great variety on the menu , I eat here often and never get bored .",menu,positive,76,82
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,neutral,76,82
It's all about the food !!,food,positive,76,82
first it took us a long time to find the place.,place,negative,76,82
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,negative,76,82
"those rolls were big, but not good and sashimi wasn't fresh.",rolls,neutral,76,82
"those rolls were big, but not good and sashimi wasn't fresh.",rolls,negative,76,82
"those rolls were big, but not good and sashimi wasn't fresh.",sashimi,negative,76,82
"Try the crunchy tuna, it is to die for.",crunchy tuna,positive,76,82
First went here to enjoy their garden terrace.,garden terrace,positive,76,82
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,positive,76,82
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,positive,76,82
"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,positive,76,82
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen,positive,76,82
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,negative,76,82
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,positive,76,82
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,positive,76,82
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,positive,76,82
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,76,82
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,76,82
"Have recommended the place to friends, always gets good response.",place,positive,76,82
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust,positive,76,82
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,positive,76,82
I take all my NYC guests to VT's.,VT's,positive,76,82
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",neighborhood,positive,76,82
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food,positive,76,82
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,positive,76,82
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,positive,76,82
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,Mizu,positive,76,82
Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,positive,76,82
"Moules were excellent, lobster ravioli was VERY salty!",Moules,positive,76,82
"Moules were excellent, lobster ravioli was VERY salty!",lobster ravioli,negative,76,82
"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',negative,76,82
Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,negative,76,82
Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,negative,76,82
The drinks are always welll made and wine selection is fairly priced.,drinks,positive,76,82
The drinks are always welll made and wine selection is fairly priced.,wine selection,positive,76,82
Try their chef's specials-- they are to die for.,chef's specials,positive,76,82
"Service is not exactly five star, but thats not really a big deal.",Service,neutral,76,82
Downstairs lounge is always a good attraction,Downstairs lounge,positive,76,82
"Raga's is a romantic, cozy restaurant.",Raga's,positive,76,82
The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,positive,76,82
The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,positive,76,82
The staff is incredibly helpful and attentive.,staff,positive,76,82
The bar is very well stocked with interesting beers and well priced wines.,bar,positive,76,82
The bar is very well stocked with interesting beers and well priced wines.,beers,positive,76,82
The bar is very well stocked with interesting beers and well priced wines.,wines,positive,76,82
"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",Leon,negative,76,82
"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",waitress,negative,76,82
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",service,negative,76,82
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",food,neutral,76,82
I had a grat time at Jekyll and Hyde!,Jekyll and Hyde,positive,76,82
I loved everythig about it-especially the shows and actors.,shows,positive,76,82
I loved everythig about it-especially the shows and actors.,actors,positive,76,82
Our server was very helpful and friendly.,server,positive,76,82
The food was good too.,food,positive,76,82
The tuna and wasabe potatoes are excellent.,tuna,positive,76,82
The tuna and wasabe potatoes are excellent.,wasabe potatoes,positive,76,82
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,positive,76,82
Service was prompt and courteous.,Service,positive,76,82
"Great service, great food.",service,positive,76,82
"Great service, great food.",food,positive,76,82
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive,76,82
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,positive,76,82
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",appetizer selection,negative,76,82
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,Wait staff,negative,76,82
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,pie,positive,76,82
By far the best salad I have had in a fast food restaurant.,salad,positive,76,82
fine dining restaurant quality.,dining,positive,76,82
"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",restaurant,positive,76,82
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",chicken pot pie,positive,76,82
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",cheeseburger,positive,76,82
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",cheeseburger,positive,76,82
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",service,positive,76,82
The staff is no nonsense.,staff,positive,76,82
The food options rule.,food,positive,76,82
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,bagels,positive,76,82
Worth visiting the 1st Ave spot because it is the original store.,1st Ave spot,positive,76,82
"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",Uni Hand roll,positive,76,82
The sake menu should not be overlooked!,sake menu,positive,76,82
Try the lobster teriyaki and the rose special roll.,lobster teriyaki,positive,76,82
Try the lobster teriyaki and the rose special roll.,rose special roll,positive,76,82
"Service was very good - prompt, attentive and non-intrusive.",Service,positive,76,82
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",Food,positive,76,82
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",pork belly,negative,76,82
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,76,82
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,76,82
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,Traditional French decour,positive,76,82
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,hall,negative,76,82
"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",Cafe Spice,positive,76,82
"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok.",Service,neutral,76,82
"Seating is always prompt, though the restaurant does fill up in the evening.",Seating,positive,76,82
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food,positive,76,82
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables in side orders,negative,76,82
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",decor,positive,76,82
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",semi-private boths,positive,76,82
I have NEVER been disappointed in the Red Eye.,Red Eye,positive,76,82
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",live jazz band,positive,76,82
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",atmosphere,positive,76,82
It's simply the best meal in NYC.,meal,positive,76,82
You cannot go wrong at the Red Eye Grill.,Red Eye Grill,positive,76,82
"If we were to move from the upper east side, we would genuinely miss this restaurant.",restaurant,positive,76,82
The restaurant is cute but not upscale.,restaurant,neutral,76,82
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,food,positive,76,82
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,balance of herbs and tomatoes,positive,76,82
We had a great time at the Jekyll and hyde Pub last night.,Jekyll and hyde Pub,positive,76,82
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,76,82
The server was really cool and served us our food and drinks with a smile.,server,positive,76,82
The place's decor and hidden bathrooms made for a good laugh.,decor,positive,76,82
The place's decor and hidden bathrooms made for a good laugh.,hidden bathrooms,positive,76,82
I highly recommend visiting this restaurant and having dinner and drinks!,restaurant,positive,76,82
"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",place,positive,76,82
"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",Jekyll and Hyde Pub,positive,76,82
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",beers,positive,76,82
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",food,positive,76,82
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",pumkin tortelini,positive,76,82
"Please take my advice, go and try this place.",place,positive,76,82
The bagel was huge.,bagel,positive,76,82
The workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel,negative,76,82
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,food,positive,76,82
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,service,positive,76,82
I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,lobster roll,positive,76,82
I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,lobster,positive,76,82
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",pizza,positive,76,82
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",santa fe chopped salad,positive,76,82
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",fish and chips,positive,76,82
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food,positive,76,82
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",ambience,positive,76,82
"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",service,positive,76,82
All the staff is absolutely professional!!,staff,positive,76,82
This restaurant was way overhyped.,restaurant,negative,76,82
My chow fun and chow see was really bland and oily.,chow fun and chow see,negative,76,82
The scallion pancakes and fried dumplings were nothing out of the ordinary.,scallion pancakes,neutral,76,82
The scallion pancakes and fried dumplings were nothing out of the ordinary.,fried dumplings,neutral,76,82
The service was the only thing good about this restaurant.,service,positive,76,82
The service was the only thing good about this restaurant.,restaurant,negative,76,82
"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",sushi,negative,76,82
"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",tuna,negative,76,82
"It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.",rolls,negative,76,82
Their pad penang is delicious and everything else is fantastic.,pad penang,positive,76,82
The price is reasonable although the service is poor.,service,negative,76,82
fresh restaurant was amazing........ food was delicious and of course fresh.,fresh restaurant,positive,76,82
fresh restaurant was amazing........ food was delicious and of course fresh.,food,positive,76,82
Hats off to the chef.,chef,positive,76,82
"the salads are delicious, both refreshing and very spicy.",salads,positive,76,82
We had Pam's special fried fish and it was amazing.,Pam's special fried fish,positive,76,82
"Great vibe, lots of people.",vibe,positive,76,82
"I didn't complain, I liked the atmosphere so much.",atmosphere,positive,76,82
"Ambience is so cute and quaint, good for business although we were there on vacation.",Ambience,positive,76,82
Salads were fantastic.,Salads,positive,76,82
Although we were looking for regular lettuce and some walnuts the salads we got were great.,salads,positive,76,82
Ingredients are organic which is a real plus for me.,Ingredients,positive,76,82
"This is some really good, inexpensive sushi.",sushi,positive,76,82
"This is some really good, inexpensive sushi.",sushi,positive,76,82
The spicy Tuna roll is huge and probably the best that I've had at this price range.,spicy Tuna roll,positive,76,82
The spicy Tuna roll is huge and probably the best that I've had at this price range.,spicy Tuna roll,positive,76,82
The spicy Tuna roll is huge and probably the best that I've had at this price range.,spicy Tuna roll,positive,76,82
The Yellowtail was particularly good as well.,Yellowtail,positive,76,82
"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",all you can eat deal,negative,76,82
"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",all you can eat deal,negative,76,82
"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",place,positive,76,82
Big Wong gets big Ups for a fine establishment.,Big Wong,positive,76,82
"They have it all -- great price, food, and service.",food,positive,76,82
"They have it all -- great price, food, and service.",service,positive,76,82
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,atmosphere,negative,76,82
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,waiters,positive,76,82
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",congee,positive,76,82
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",noodles,positive,76,82
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",rice dishes,positive,76,82
The takeout is great too since they give high quality tupperware as well.,takeout,positive,76,82
This place is always very crowded and popular.,place,positive,76,82
Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,Caesar Salad,positive,76,82
Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.,arugula and goat cheese,positive,76,82
We both opted for a pasta dish and they were served timely and fresh.,pasta dish,positive,76,82
"We concluded with tiramisu chocolate cake, both were delicious.",tiramisu,positive,76,82
"We concluded with tiramisu chocolate cake, both were delicious.",chocolate cake,positive,76,82
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,restaurant,positive,76,82
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",staff,positive,76,82
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",food,positive,76,82
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",place,positive,76,82
We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,Manager,positive,76,82
sometimes i get good food and ok service.,food,positive,76,82
sometimes i get good food and ok service.,service,neutral,76,82
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative,76,82
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative,76,82
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative,76,82
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",good,positive,76,82
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,dishes,positive,76,82
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,wine,positive,76,82
